epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,252.686,0.78629,0.57557,0.89788,0.99651,0.96915,0.99003,0.74373,0.84247,0.47152,0.95218,0.00144145,0.00144145,0.00144145
43,258.404,0.82729,0.58601,0.90559,0.99043,0.97086,0.99285,0.74912,0.85016,0.46194,0.95668,0.00143595,0.00143595,0.00143595
44,264.217,0.81382,0.5852,0.90113,0.98748,0.97287,0.99243,0.7496,0.87389,0.46431,0.96585,0.00143045,0.00143045,0.00143045
45,270.125,0.8248,0.5984,0.88872,0.97215,0.98601,0.99175,0.74377,0.84599,0.45886,0.9532,0.00142495,0.00142495,0.00142495
46,276.027,0.8323,0.56759,0.90671,0.97213,0.98276,0.98141,0.72867,0.82395,0.44236,0.95219,0.00141945,0.00141945,0.00141945
47,281.708,0.82377,0.55591,0.90304,0.99386,1,0.99422,0.74827,0.85088,0.43568,0.96442,0.00141395,0.00141395,0.00141395
48,287.336,0.8267,0.54374,0.89792,0.99269,0.98718,0.99373,0.76373,0.82626,0.43705,0.95004,0.00140845,0.00140845,0.00140845
49,293.458,0.81709,0.52813,0.90204,0.99786,1,0.99436,0.7641,0.83124,0.42668,0.95306,0.00140295,0.00140295,0.00140295
50,299.353,0.83231,0.54032,0.90332,0.99774,1,0.99433,0.75662,0.81012,0.42047,0.94518,0.00139745,0.00139745,0.00139745
51,305.066,0.78475,0.53906,0.90692,0.99555,0.99936,0.99425,0.75449,0.80554,0.42324,0.94278,0.00139195,0.00139195,0.00139195
52,310.646,0.79099,0.53281,0.91514,0.99263,0.99882,0.99494,0.76714,0.84886,0.42953,0.95784,0.00138644,0.00138644,0.00138644
53,316.758,0.81239,0.52778,0.90318,0.98445,0.99722,0.99475,0.76264,0.82468,0.42743,0.94858,0.00138094,0.00138094,0.00138094
54,322.501,0.8131,0.50939,0.90176,0.98657,1,0.9935,0.74081,0.8444,0.43964,0.95692,0.00137544,0.00137544,0.00137544
55,328.372,0.81104,0.52905,0.90856,0.98058,0.99883,0.98863,0.74054,0.88277,0.43305,0.97772,0.00136994,0.00136994,0.00136994
56,334.015,0.80931,0.51638,0.89083,0.96961,0.99883,0.98683,0.75086,0.83041,0.42346,0.95192,0.00136444,0.00136444,0.00136444
57,339.888,0.79666,0.51441,0.89594,0.97014,0.99883,0.99134,0.74717,0.8352,0.41373,0.95306,0.00135894,0.00135894,0.00135894
58,345.656,0.79631,0.5064,0.92106,0.97319,0.9968,0.99352,0.74606,0.84332,0.41732,0.95436,0.00135344,0.00135344,0.00135344
59,351.332,0.76814,0.48981,0.88662,0.97198,0.99686,0.99329,0.74188,0.85234,0.4149,0.9606,0.00134794,0.00134794,0.00134794
60,356.882,0.84051,0.52611,0.90862,0.9741,0.99852,0.99352,0.75141,0.83702,0.42357,0.94856,0.00134244,0.00134244,0.00134244
61,362.896,0.82667,0.5223,0.89987,1,0.98332,0.99451,0.73458,0.84769,0.43588,0.95467,0.00133693,0.00133693,0.00133693
62,368.74,0.839,0.51495,0.89608,0.99991,0.98481,0.99451,0.74714,0.82953,0.42502,0.95154,0.00133143,0.00133143,0.00133143
63,374.661,0.79186,0.48612,0.89871,0.98595,0.9992,0.99438,0.74708,0.82726,0.41073,0.94766,0.00132593,0.00132593,0.00132593
64,380.397,0.82448,0.49011,0.9,0.98587,0.99784,0.99475,0.74907,0.8498,0.40659,0.95224,0.00132043,0.00132043,0.00132043
65,386.135,0.80784,0.48282,0.89506,0.99883,0.98422,0.9945,0.75955,0.82504,0.41243,0.94353,0.00131493,0.00131493,0.00131493
66,391.697,0.80494,0.49093,0.90839,0.99722,0.99796,0.99498,0.76106,0.83306,0.41395,0.94565,0.00130943,0.00130943,0.00130943
67,397.63,0.79926,0.48789,0.89353,0.99786,0.99811,0.995,0.76008,0.8268,0.41025,0.94501,0.00130393,0.00130393,0.00130393
68,403.477,0.7854,0.47151,0.88083,0.99568,0.99673,0.995,0.7707,0.81514,0.39816,0.93944,0.00129843,0.00129843,0.00129843
69,409.524,0.77387,0.46944,0.88916,0.99672,0.99834,0.99487,0.77005,0.83576,0.39344,0.95311,0.00129293,0.00129293,0.00129293
70,415.449,0.80951,0.47807,0.90021,0.99456,0.99809,0.99442,0.75615,0.83847,0.39294,0.9523,0.00128742,0.00128742,0.00128742
71,421.147,0.82365,0.48977,0.91202,0.99746,0.99948,0.9942,0.74943,0.81347,0.39227,0.9413,0.00128192,0.00128192,0.00128192
72,426.743,0.78292,0.47036,0.88791,0.99687,0.99947,0.99443,0.74781,0.83133,0.39344,0.9481,0.00127642,0.00127642,0.00127642
73,432.681,0.79243,0.46514,0.90532,0.99299,0.99453,0.99499,0.75997,0.83743,0.39937,0.95382,0.00127092,0.00127092,0.00127092
74,438.581,0.78227,0.4638,0.8919,0.99619,0.99806,0.99495,0.76292,0.811,0.38883,0.93943,0.00126542,0.00126542,0.00126542
75,444.354,0.77005,0.44455,0.88762,0.99748,0.99955,0.99487,0.75618,0.83027,0.39348,0.94564,0.00125992,0.00125992,0.00125992
76,450.091,0.78912,0.45787,0.88905,0.9946,0.98591,0.99402,0.75899,0.84618,0.3983,0.95076,0.00125442,0.00125442,0.00125442
77,456.106,0.80135,0.47045,0.89602,0.99884,0.99787,0.99466,0.75172,0.8205,0.38853,0.9419,0.00124892,0.00124892,0.00124892
78,461.941,0.77606,0.45689,0.89291,0.98471,0.99887,0.99436,0.7443,0.82151,0.39435,0.94699,0.00124342,0.00124342,0.00124342
79,467.678,0.79032,0.4493,0.88561,0.98808,0.99421,0.995,0.75247,0.80576,0.38651,0.94187,0.00123791,0.00123791,0.00123791
80,473.437,0.77836,0.45975,0.8817,0.99678,0.9982,0.995,0.76932,0.81695,0.38314,0.94604,0.00123241,0.00123241,0.00123241
81,479.214,0.76338,0.44667,0.88168,0.99771,0.99822,0.99494,0.76872,0.82062,0.37705,0.93986,0.00122691,0.00122691,0.00122691
82,485.028,0.7493,0.43884,0.87555,0.99766,1,0.99474,0.76631,0.8098,0.37429,0.93591,0.00122141,0.00122141,0.00122141
83,490.806,0.74835,0.43636,0.89159,0.99771,1,0.99444,0.76667,0.81155,0.37091,0.93951,0.00121591,0.00121591,0.00121591
84,496.58,0.72806,0.42162,0.87951,0.99604,0.99907,0.99407,0.7693,0.80632,0.3699,0.93517,0.00121041,0.00121041,0.00121041
85,502.665,0.76531,0.44573,0.87907,0.99735,0.99945,0.99416,0.76787,0.81401,0.38009,0.9381,0.00120491,0.00120491,0.00120491
86,508.222,0.74525,0.42925,0.89613,0.99638,1,0.9944,0.75265,0.83277,0.39206,0.94531,0.00119941,0.00119941,0.00119941
87,514.186,0.75301,0.42524,0.87639,0.99754,0.99997,0.99434,0.75859,0.82172,0.37825,0.94734,0.00119391,0.00119391,0.00119391
88,520.134,0.75602,0.43329,0.88199,0.99614,0.99963,0.99426,0.76392,0.81724,0.37435,0.94561,0.0011884,0.0011884,0.0011884
89,525.844,0.76743,0.42945,0.8851,0.99683,1,0.99438,0.7691,0.81855,0.36884,0.93938,0.0011829,0.0011829,0.0011829
90,531.853,0.77258,0.43505,0.88434,0.9965,0.99913,0.99463,0.76401,0.80448,0.36608,0.93644,0.0011774,0.0011774,0.0011774
91,537.688,0.78199,0.43349,0.89417,0.99483,0.99878,0.99484,0.76351,0.81657,0.37149,0.94201,0.0011719,0.0011719,0.0011719
92,543.294,0.73697,0.42028,0.89005,0.99769,0.99964,0.99459,0.76948,0.82671,0.3697,0.94559,0.0011664,0.0011664,0.0011664
93,549.18,0.74592,0.41002,0.87371,0.99426,0.99757,0.99435,0.77705,0.81868,0.37836,0.943,0.0011609,0.0011609,0.0011609
94,554.926,0.77634,0.43313,0.90425,0.99582,0.98718,0.9925,0.76861,0.82731,0.3885,0.95093,0.0011554,0.0011554,0.0011554
95,560.882,0.75502,0.41781,0.88601,0.99071,0.98718,0.9905,0.76429,0.79835,0.37874,0.93525,0.0011499,0.0011499,0.0011499
96,566.608,0.75152,0.42369,0.88525,0.99594,0.98718,0.99195,0.75426,0.81506,0.3894,0.94015,0.0011444,0.0011444,0.0011444
97,572.365,0.7663,0.42216,0.87911,0.99518,0.98718,0.99282,0.75041,0.83688,0.38573,0.95117,0.00113889,0.00113889,0.00113889
